ID,land area,name,pop-2013,pop-2018,pop-2023
165001,39.2222,Puni,1593,1653,1635
166100,0.7347,Pukekohe Hospital,1506,1653,1656
165700,0.7920,Rosa Birch Park,1965,2082,2043
165901,1.3056,Cloverlea (Auckland),2175,2352,2586
165501,1.2452,Pukekohe West,3999,4344,4407
165502,1.0069,Pukekohe South West,390,633,2907
165301,3.9024,Pukekohe North,1908,1914,1977
165302,0.8805,Pukekohe North West,2292,2760,2943
161500,1.0165,Wattle Downs East,2031,2247,2283
161100,1.4772,Wattle Downs West,3258,3801,3861
161400,86.6833,Kingseat-Karaka,2550,2904,2994
163803,35.0004,Patumāhoe Rural,1128,1248,1323
163801,1.8154,Patumāhoe,660,1176,1365
162400,53.1587,Glenbrook,2034,2193,2805
159801,35.0404,Karaka Creek,1356,1575,1611
159401,2.4122,Clarks Beach,1329,1392,1581
149901,221.4013,Āwhitu,2424,2814,3081
128000,101.5529,Waitākere Ranges South,1011,1104,1149
130000,17.1906,Oratia,2037,2151,2142
127601,11.3650,Waiatarua,2208,2304,2307
127801,0.9692,Henderson Valley Park,2481,2769,2910
128301,0.7930,McLaren Memorial Park,3246,3342,3495
124700,15.0379,Henderson Valley,1353,1440,1422
136601,0.8701,New Windsor North,3024,3249,3306
135500,0.9184,Ōwairaka West,2985,3222,3015
133100,1.1163,Avondale Central (Auckland),2583,3030,2817
131700,0.7397,Avondale West (Auckland),3816,4017,3954
129000,0.8417,Sunnyvale West-Parrs Park,2340,2553,2724
129101,1.1240,Sunnyvale East,2685,3390,3609
129501,1.1002,Glendene South,2697,2877,3015
130500,0.9669,Kelston North,2541,2766,2820
132600,0.6896,New Lynn North West,2751,3120,3219
134900,0.7224,New Lynn Seabrook,2634,2886,2931
131000,0.8356,Kelston South,2361,2589,2853
132900,0.8521,Fruitvale,2745,2952,3087
135401,1.2243,Titirangi East,2871,3177,3243
136700,4.7374,Titirangi South,3771,4026,3798
134700,1.4634,Kaurilands,3051,3177,3099
131500,1.2476,Glen Eden Central,3315,3573,3612
130801,1.8766,Glen Eden North,2373,2388,2673
130901,0.9170,Glen Eden Woodglen,2847,2961,3231
132501,1.2687,Konini Road,2082,2106,2079
130902,1.0874,Glen Eden Konini,2607,2748,2847
130100,1.2443,Glen Eden Rosier,3138,3537,3456
129600,1.1546,Glen Eden West,3573,3801,3774
134600,3.4842,Waima-Woodlands Park,2526,2682,2634
137500,4.0783,Laingholm,2265,2385,2316
138000,1.2579,Green Bay South,2913,3006,3027
136501,0.6441,New Lynn South,2328,2625,2640
132300,0.7413,New Lynn North,2946,3270,3162
135600,0.7403,New Lynn Central South,2841,2793,3312
137300,1.0354,Green Bay North,1683,1782,1887
136502,0.7923,New Lynn South East,1842,2025,2028
133900,1.1817,New Lynn Central,150,543,498
138901,1.2647,Blockhouse Bay South,2544,2796,2982
137201,0.5940,Blockhouse Bay North,2136,2475,2493
135000,1.1762,Avondale South (Auckland),3948,4227,4494
137202,0.9634,Blockhouse Bay Central,2898,3153,3147
137100,0.6405,Glenavon,2787,2907,2976
139501,0.5614,Blockhouse Bay East,1935,2235,2226
138600,0.5285,Blockhouse Bay North East,2064,2181,2262
138301,0.5397,New Windsor South,1875,2016,1983
139601,0.9407,Mount Roskill West,2712,3030,3357
142901,0.6309,Hillsborough Central (Auckland),1992,2391,2469
143600,1.1599,Hillsborough South (Auckland),2469,2775,2769
142002,0.7237,Hillsborough North (Auckland),1461,1680,1653
141201,0.6743,Three Kings North,1284,1344,1509
142001,0.7132,Three Kings South,2274,2544,2589
140601,0.6471,Mount Roskill North East,2049,2301,2160
142101,0.8416,Mount Roskill Central East,3330,3555,3501
140400,0.9010,Mount Roskill Central North,3081,3324,3090
140700,1.2020,Mount Roskill Central South,2493,2412,2454
139100,0.6070,Wesley East,2082,2163,1983
142301,0.6980,Mount Roskill South East,3210,3402,3234
142501,1.3569,Waikowhai Bay,1746,2037,1971
140902,0.8517,Lynfield Harbour View,1578,1716,1719
140901,0.7239,Lynfield Central,2472,2757,2790
141300,1.1297,Mount Roskill South,2838,3174,3063
139802,0.4834,Mount Roskill Nirvana,2019,2268,2163
139801,0.5592,Mount Roskill White Swan,2076,2325,2349
138800,0.6828,Wesley South,48,60,36
138302,0.5755,New Windsor East,2382,2493,2448
136801,0.4750,Ōwairaka East,2295,2412,2241
137901,0.6842,Wesley West,2910,3066,2706
138200,0.7151,Sandringham East,3273,3441,3171
139700,0.9582,Mount Roskill North,3624,3813,3729
139900,0.8728,Mount Eden South,3804,3951,3702
140800,0.9835,Epsom Central-South,3903,3945,3870
141500,1.2682,Epsom East,2445,2391,2802
142202,0.6170,Greenlane Central,2058,2193,2190
143301,1.5477,Ellerslie Central,3123,3339,3153
144201,0.3468,Ellerslie West,108,114,114
145200,0.6689,Oranga,2952,3198,2772
148200,1.1092,Favona North,2553,2736,2961
149400,0.6356,Favona East,3291,3843,3783
150000,0.9443,Harania North,3606,3762,3900
151600,0.7846,Māngere Mascot,3372,3681,3621
148600,0.8606,Favona West,2670,3105,3504
150200,1.4451,Māngere Central,3348,3612,3564
148501,0.9286,Māngere North,2592,2952,2829
148901,0.7289,Māngere West,3429,3738,3495
145500,3.0335,Onehunga-Te Papapa Industrial,840,870,1134
145600,0.7109,Te Papapa,3060,3237,3150
142801,0.5282,One Tree Hill Oranga,1974,2118,2154
143800,0.8526,Greenlane South,3309,3618,3741
142802,2.2208,One Tree Hill Amaru,2187,2391,2343
144300,0.7726,Onehunga North,3513,3798,3771
145000,0.8645,Onehunga Central,3204,3249,3045
143400,0.6410,Royal Oak East (Auckland),2568,2832,2685
144101,0.9747,Onehunga West,3087,3399,3261
142600,0.8114,Royal Oak West (Auckland),2349,2502,2673
141700,0.5963,Epsom South,2175,2235,2304
146100,3.1401,Māngere Bridge Ambury,3309,3510,3657
147500,1.7045,Māngere Mountain View,3363,3735,4161
146800,1.6100,Māngere Bridge,2589,3051,3021
147900,23.0500,Auckland Airport,567,630,528
151000,0.8332,Māngere South,3309,3594,3606
153600,0.6199,Aorere Central,1959,2061,2163
152800,4.3271,Māngere South East,3243,3786,3714
151200,0.7765,Harania South,3066,3375,3540
152600,0.3247,Massey Road South,1800,1782,1857
150800,0.7307,Sutton Park,3471,3831,3741
144800,0.8298,Ellerslie South,2415,2580,2427
145900,6.4211,Penrose,645,843,1029
146600,0.7791,Mount Wellington West,2862,2985,3318
146201,0.6473,Mount Wellington Ferndale,2814,3222,3150
149600,1.8336,Ōtāhuhu Industrial,27,78,153
151800,0.6935,Massey Road West,3528,3753,3699
153200,0.3300,Aorere North,1653,1713,1425
152101,0.8403,Massey Road North,2628,3093,3255
153301,0.6424,Māngere East,2199,2583,2637
154801,0.7716,Papatoetoe North West,2520,2979,3159
152700,0.7202,Middlemore,105,33,138
151400,1.2420,Ōtāhuhu South West,3336,3888,3372
150301,0.3822,Ōtāhuhu North West,2028,2049,2244
150101,1.2546,Ōtāhuhu Central,1011,1278,1209
147202,0.5697,Mount Wellington Hamlin,2319,2571,2643
146501,0.6946,Mount Wellington East,2955,3120,3111
147400,0.5571,Sylvia Park,129,132,117
147700,3.3324,Mount Wellington Industrial,9,18,9
149100,0.6976,Mount Wellington South West,2160,2391,3033
147201,0.7546,Mount Wellington Central,2436,2745,2703
147100,1.0154,Panmure East,3054,3426,3390
149500,0.6740,Mount Wellington South East,2679,2853,3129
150302,0.3595,Ōtāhuhu North East,1638,1896,1902
151900,0.8175,Ōtāhuhu South,3438,3666,3600
154001,0.7342,Papatoetoe North,3012,3534,3726
153000,1.4333,Grange,1854,2187,2427
154901,0.8296,Papatoetoe Central West,2922,3459,3372
155500,11.4134,Manukau Central,801,771,963
155901,0.7048,Papatoetoe South West,2643,3012,3099
154802,0.7641,Papatoetoe West,3219,3543,3903
154201,0.6885,Aorere South West,2436,2745,2652
154202,0.6093,Aorere South East,2310,2565,2613
160201,0.4958,Weymouth West,2106,2358,2331
159500,0.5941,Clendon Park West,2889,3261,3132
159700,0.4626,Clendon Park East,2064,2271,2214
160700,1.0581,Weymouth South,3045,3555,3750
160202,0.6058,Weymouth Central,1578,2937,2952
158800,0.6485,Burbank,3360,3960,3750
158700,0.7492,Clendon Park North,2841,3339,3117
157600,8.0300,Wiri West,363,1176,1479
156700,0.5261,Puhinui South,2256,2526,2574
156500,0.7036,Puhinui North,3273,3852,3984
156201,0.6502,Papatoetoe South,2898,3228,3549
155602,0.7806,Papatoetoe East,2721,3030,3483
157000,0.6038,Puhinui East,2331,2679,2727
159202,0.5434,Homai Central,2136,2766,3120
160000,0.8311,Rowandale East,3354,3813,4050
159201,0.4790,Homai West,2058,2412,2589
159900,0.6877,Rowandale West,3129,3471,3579
160501,0.6744,Weymouth East,2463,2769,2679
160601,1.2166,Leabank,2634,3042,2976
159101,0.6009,Homai East,2331,2793,2985
160100,1.0811,Manurewa Central,3189,3678,3783
161201,0.7908,Wattle Downs North,2664,3039,3408
160901,0.6051,Manurewa West,2169,2619,2931
160902,0.8851,Manurewa South,2373,2616,2871
160800,0.8283,Manurewa East,2505,2907,3102
160300,1.0815,Hillpark South,2826,3219,3126
159600,0.6597,Hillpark North,2190,2457,2472
159000,0.8544,Totara Heights,2340,2712,2934
158502,0.7473,Goodwood Heights East,2499,2700,2634
157702,0.5226,Clover Park East,2481,2796,2589
157200,0.5812,Rongomai East,2106,2283,2106
157701,0.8426,Clover Park North,2580,2913,2799
157901,0.7425,Clover Park South,2874,3213,3210
158501,0.5343,Goodwood Heights West,1572,1701,1710
158402,0.7108,Wiri East,1446,1668,2136
158401,0.6577,Wiri North,2112,2511,2889
155801,0.7190,Ferguson,2967,3207,3063
155702,0.6052,Ōtara South,2670,3018,2886
155100,0.8678,Ōtara East,3531,3930,3756
152300,7.7768,East Tamaki,213,309,270
156800,0.4851,Rongomai West,2181,2451,2328
156000,2.4793,Botany Junction,162,180,105
157500,0.7601,Chapel Downs,3114,3330,3255
152500,0.5255,Burswood,1623,1695,1596
150700,1.7907,Pakuranga Heights East,2961,3126,3006
149200,0.8734,Sunnyhills East,3267,3420,3465
150500,0.7623,Pakuranga Heights North West,2679,2721,2739
151500,0.9734,Pakuranga Heights South West,3159,3393,3432
148101,0.8690,Sunnyhills West,2241,2253,2202
149800,1.1264,Pakuranga Central,3117,3366,3474
148102,1.3539,Pakuranga North,2721,2928,2700
149001,0.9381,Pakuranga West,2859,2958,2724
154400,1.5209,Ōtara Central,2559,2730,2565
155701,0.4646,Ōtara South West,1710,1890,1887
153500,1.5549,Ōtara West,3015,3369,3120
155601,0.6095,Papatoetoe North East,2604,2931,3327
154101,0.6510,Dingwall,2247,2550,2781
