ID,travel-2023-work-home,travel-2023-work-DNW,travel-2023-work-car1,travel-2023-work-car2,travel-2023-work-car-passenger,travel-2023-work-bus,travel-2023-work-train,travel-2023-work-bicycle,travel-2023-work-walk,travel-2023-work-ferry,travel-2023-work-other,travel-2023-work-NEI,travel-2023-work-total,travel-2023-work-total-stated,travel-2023-edu-home,travel-2023-edu-car,travel-2023-edu-car-passenger,travel-2023-edu-bicycle,travel-2023-edu-walk,travel-2023-edu-schoolbus,travel-2023-edu-bus,travel-2023-edu-train,travel-2023-edu-ferry,travel-2023-edu-other,travel-2023-edu-NEI,travel-2023-edu-total,travel-2023-edu-total-stated
165001,222,-997,516,159,21,3,9,0,15,0,0,0,945,945,30,42,168,0,9,54,9,9,0,3,0,324,324
166100,120,-997,486,129,36,3,9,3,21,0,0,0,810,810,33,24,195,9,69,18,3,12,0,3,0,366,366
165700,120,-997,588,147,27,9,21,3,54,0,12,0,981,981,27,39,156,9,120,9,6,12,0,3,0,384,384
165901,192,-997,807,255,36,0,18,0,21,0,9,0,1350,1350,54,69,252,9,129,27,3,15,0,3,0,558,558
165501,231,-997,1389,255,99,12,21,9,39,0,15,0,2067,2067,105,84,612,21,216,78,9,15,0,27,0,1170,1170
165502,219,-997,1032,204,66,15,36,3,15,0,12,0,1602,1602,66,60,396,24,156,12,9,33,0,9,0,762,762
165301,156,-997,615,171,42,12,9,3,27,0,9,0,1044,1044,39,36,243,3,63,36,6,9,0,3,0,441,441
165302,126,-997,825,135,81,12,15,3,36,0,12,0,1245,1245,60,66,369,3,162,45,21,15,0,9,0,744,744
161500,159,-997,747,165,39,12,30,6,6,0,6,0,1173,1173,39,69,234,6,30,33,18,48,0,9,0,486,486
161100,303,-997,1275,225,48,24,51,3,6,0,12,0,1947,1947,63,108,363,15,198,99,21,69,0,12,0,948,948
161400,465,-997,840,261,45,0,21,0,18,0,12,0,1668,1668,54,69,396,0,24,117,3,36,0,6,0,708,708
163803,177,-997,414,141,12,0,3,0,6,0,3,0,759,759,24,36,141,0,9,90,0,9,0,0,0,309,309
